,State,County,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
53443,NC,Iredell,2008,1.62,437.83,191.2,134.67
53444,NC,Iredell,2009,-3.56,422.24,184.4,129.88
53445,NC,Iredell,2010,-8.49,386.4,168.74,118.85
53446,NC,Iredell,2011,-3.93,371.23,162.12,114.18
53447,NC,Iredell,2012,-3.12,359.66,157.07,110.62
53448,NC,Iredell,2013,1.75,365.97,159.82,112.56
53449,NC,Iredell,2014,2.99,376.92,164.61,115.94
53450,NC,Iredell,2015,4.03,392.11,171.24,120.61
53451,NC,Iredell,2016,3.84,407.18,177.82,125.24
53452,NC,Iredell,2017,4.4,425.08,185.64,130.75
53453,NC,Iredell,2018,4.72,445.12,194.39,136.91
53454,NC,Jackson,1996,.,100,.,77.61
53455,NC,Jackson,1997,9,109,.,84.6
53456,NC,Jackson,1998,0.34,109.37,.,84.89
53457,NC,Jackson,1999,5.68,115.59,.,89.71
53458,NC,Jackson,2000,11.47,128.84,.,100
53459,NC,Jackson,2001,4.36,134.45,.,104.36
53460,NC,Jackson,2002,3.43,139.06,.,107.93
53461,NC,Jackson,2003,4.56,145.4,.,112.85
53462,NC,Jackson,2004,4.88,152.49,.,118.36
53463,NC,Jackson,2005,10.67,168.76,.,130.99
53464,NC,Jackson,2006,10.87,187.11,.,145.22
53465,NC,Jackson,2007,5.66,197.7,.,153.45
53466,NC,Jackson,2008,2.28,202.21,.,156.94
53467,NC,Jackson,2009,-2.29,197.58,.,153.35
53468,NC,Jackson,2010,-7.54,182.68,.,141.79
53469,NC,Jackson,2011,-3.39,176.49,.,136.98
53470,NC,Jackson,2012,-6.59,164.86,.,127.95
53471,NC,Jackson,2013,0.16,165.12,.,128.15
53472,NC,Jackson,2014,1.33,167.3,.,129.85
53473,NC,Jackson,2015,-0.78,166,.,128.84
53474,NC,Jackson,2016,-1.91,162.83,.,126.38
53475,NC,Jackson,2017,2.34,166.63,.,129.33
53476,NC,Jackson,2018,5.21,175.32,.,136.07
53482,NC,Johnston,1990,1.28,118.41,100,71.76
53483,NC,Johnston,1991,0.46,118.95,100.46,72.09
53484,NC,Johnston,1992,1.34,120.54,101.8,73.05
53485,NC,Johnston,1993,2.42,123.46,104.27,74.82
53486,NC,Johnston,1994,6.42,131.39,110.96,79.63
53487,NC,Johnston,1995,7.16,140.8,118.91,85.33
53488,NC,Johnston,1996,2.57,144.42,121.97,87.52
53489,NC,Johnston,1997,4.75,151.28,127.76,91.68
53490,NC,Johnston,1998,3.37,156.38,132.07,94.77
53491,NC,Johnston,1999,2.67,160.56,135.6,97.31
53492,NC,Johnston,2000,2.77,165,139.35,100
53493,NC,Johnston,2001,3.3,170.44,143.95,103.3
53494,NC,Johnston,2002,0.91,172,145.26,104.24
53495,NC,Johnston,2003,0.08,172.14,145.38,104.32
53496,NC,Johnston,2004,0.92,173.73,146.72,105.29
53497,NC,Johnston,2005,2.03,177.25,149.7,107.42
53498,NC,Johnston,2006,5.67,187.3,158.18,113.51
53499,NC,Johnston,2007,3.83,194.47,164.24,117.86
53500,NC,Johnston,2008,0.06,194.6,164.34,117.93
53501,NC,Johnston,2009,-2.83,189.09,159.69,114.6
53502,NC,Johnston,2010,-3.15,183.14,154.67,110.99
53503,NC,Johnston,2011,-2.84,177.94,150.28,107.84
53504,NC,Johnston,2012,-2.02,174.35,147.24,105.66
53505,NC,Johnston,2013,0.54,175.3,148.05,106.24
53506,NC,Johnston,2014,2.73,180.09,152.09,109.14
53507,NC,Johnston,2015,3.32,186.07,157.15,112.77
53508,NC,Johnston,2016,4.11,193.71,163.6,117.4
53509,NC,Johnston,2017,6.5,206.3,174.23,125.03
53510,NC,Johnston,2018,5.46,217.56,183.74,131.85
53511,NC,Jones,1992,.,100,.,79.75
53512,NC,Jones,1993,-0.2,99.8,.,79.59
53513,NC,Jones,1994,-2.49,97.32,.,77.61
53514,NC,Jones,1995,11.2,108.22,.,86.3
53515,NC,Jones,1996,2.42,110.84,.,88.39
53516,NC,Jones,1997,4.92,116.29,.,92.73
53517,NC,Jones,1998,0,116.29,.,92.74
53518,NC,Jones,1999,3.17,119.97,.,95.67
53519,NC,Jones,2000,4.52,125.4,.,100
53520,NC,Jones,2001,-0.93,124.23,.,99.07
53521,NC,Jones,2002,4.6,129.94,.,103.62
53522,NC,Jones,2003,0.65,130.78,.,104.29
53523,NC,Jones,2004,5.25,137.65,.,109.77
53524,NC,Jones,2005,9.34,150.51,.,120.02
53525,NC,Jones,2006,7.67,162.05,.,129.23
53526,NC,Jones,2007,4.26,168.96,.,134.74
53527,NC,Jones,2008,2.83,173.73,.,138.54
53528,NC,Jones,2009,-3.2,168.17,.,134.11
53529,NC,Jones,2010,-4.05,161.37,.,128.69
53530,NC,Jones,2011,-4.26,154.5,.,123.2
53531,NC,Jones,2012,-7.2,143.38,.,114.34
53532,NC,Jones,2013,5.24,150.89,.,120.33
53533,NC,Jones,2014,-12.5,132.04,.,105.29
53534,NC,Jones,2015,4.79,138.36,.,110.34
53535,NC,Jones,2016,7.92,149.33,.,119.08
53536,NC,Jones,2017,8.22,161.61,.,128.88
53537,NC,Jones,2018,-10.27,145,.,115.64
53543,NC,Lee,1990,-0.42,116.06,100,70.68
53544,NC,Lee,1991,4.41,121.19,104.41,73.8
53545,NC,Lee,1992,0.83,122.2,105.28,74.42
53546,NC,Lee,1993,2.59,125.36,108.01,76.35
53547,NC,Lee,1994,4.38,130.85,112.74,79.69
53548,NC,Lee,1995,5.07,137.48,118.45,83.73
53549,NC,Lee,1996,4.88,144.19,124.23,87.81
53550,NC,Lee,1997,3.15,148.73,128.14,90.58
53551,NC,Lee,1998,4.36,155.21,133.73,94.53
53552,NC,Lee,1999,2.34,158.85,136.86,96.74
53553,NC,Lee,2000,3.37,164.2,141.47,100
53554,NC,Lee,2001,3.5,169.94,146.42,103.5
53555,NC,Lee,2002,1.7,172.84,148.91,105.26
53556,NC,Lee,2003,1.49,175.41,151.14,106.83
53557,NC,Lee,2004,2.47,179.75,154.87,109.47
53558,NC,Lee,2005,3.76,186.51,160.7,113.59
53559,NC,Lee,2006,5.82,197.37,170.05,120.2
53560,NC,Lee,2007,3,203.29,175.15,123.81
53561,NC,Lee,2008,0.92,205.15,176.76,124.94
53562,NC,Lee,2009,-1.91,201.23,173.38,122.55
53563,NC,Lee,2010,-3.76,193.66,166.86,117.94
53564,NC,Lee,2011,-2.66,188.51,162.42,114.81
53565,NC,Lee,2012,-1.32,186.03,160.29,113.3
53566,NC,Lee,2013,-1.4,183.43,158.04,111.71
53567,NC,Lee,2014,-2.68,178.51,153.8,108.71
53568,NC,Lee,2015,5.88,189,162.84,115.1
53569,NC,Lee,2016,-0.08,188.84,162.71,115.01
53570,NC,Lee,2017,4.1,196.59,169.38,119.73
53571,NC,Lee,2018,6.67,209.7,180.68,127.71
53585,NC,Lenoir,1990,-2.74,165.75,100,74.87
53586,NC,Lenoir,1991,2.55,169.98,102.55,76.78
53587,NC,Lenoir,1992,3.74,176.34,106.39,79.66
53588,NC,Lenoir,1993,1.72,179.37,108.22,81.03
53589,NC,Lenoir,1994,3.62,185.86,112.13,83.96
53590,NC,Lenoir,1995,2.9,191.25,115.38,86.39
53591,NC,Lenoir,1996,4.26,199.39,120.29,90.07
53592,NC,Lenoir,1997,1.38,202.14,121.95,91.31
53593,NC,Lenoir,1998,4.24,210.72,127.13,95.19
53594,NC,Lenoir,1999,1.38,213.63,128.88,96.5
53595,NC,Lenoir,2000,3.62,221.37,133.56,100
53596,NC,Lenoir,2001,5.12,232.72,140.4,105.12
53597,NC,Lenoir,2002,1.37,235.92,142.33,106.57
53598,NC,Lenoir,2003,-1,233.55,140.91,105.5
53599,NC,Lenoir,2004,1.14,236.22,142.52,106.71
53600,NC,Lenoir,2005,2.31,241.68,145.81,109.17
53601,NC,Lenoir,2006,3.24,249.5,150.53,112.71
53602,NC,Lenoir,2007,3.05,257.12,155.12,116.15
53603,NC,Lenoir,2008,-0.06,256.96,155.03,116.08
53604,NC,Lenoir,2009,-1.43,253.28,152.81,114.41
53605,NC,Lenoir,2010,0.07,253.45,152.91,114.49
53606,NC,Lenoir,2011,-3.73,244,147.21,110.22
53607,NC,Lenoir,2012,-3.15,236.31,142.57,106.75
53608,NC,Lenoir,2013,0.87,238.36,143.81,107.68
53609,NC,Lenoir,2014,-3.7,229.54,138.49,103.69
53610,NC,Lenoir,2015,1.34,232.62,140.34,105.08
53611,NC,Lenoir,2016,0.79,234.47,141.46,105.92
53612,NC,Lenoir,2017,-0.25,233.88,141.1,105.65
53613,NC,Lenoir,2018,4.42,244.22,147.34,110.32
53618,NC,Lincoln,1990,5.24,125.33,100,67.08
53619,NC,Lincoln,1991,-0.84,124.28,99.16,66.51
53620,NC,Lincoln,1992,5.93,131.64,105.04,70.46
53621,NC,Lincoln,1993,4.05,136.98,109.3,73.31
53622,NC,Lincoln,1994,2.65,140.6,112.19,75.25
53623,NC,Lincoln,1995,3.9,146.09,116.57,78.19
53624,NC,Lincoln,1996,5.75,154.49,123.27,82.68
53625,NC,Lincoln,1997,4.92,162.08,129.33,86.75
53626,NC,Lincoln,1998,4.23,168.93,134.79,90.41
53627,NC,Lincoln,1999,3.59,174.99,139.63,93.66
53628,NC,Lincoln,2000,6.77,186.84,149.08,100
53629,NC,Lincoln,2001,4.03,194.37,155.09,104.03
53630,NC,Lincoln,2002,2.22,198.68,158.53,106.33
53631,NC,Lincoln,2003,-0.02,198.64,158.5,106.31
53632,NC,Lincoln,2004,2.92,204.43,163.12,109.42
53633,NC,Lincoln,2005,4.02,212.65,169.67,113.81
53634,NC,Lincoln,2006,8.76,231.28,184.54,123.78
53635,NC,Lincoln,2007,4.96,242.76,193.7,129.93
53636,NC,Lincoln,2008,3.74,251.83,200.94,134.78
53637,NC,Lincoln,2009,-1.72,247.51,197.49,132.47
53638,NC,Lincoln,2010,-8.06,227.57,181.58,121.8
53639,NC,Lincoln,2011,-4.53,217.25,173.35,116.28
53640,NC,Lincoln,2012,-1.95,213.02,169.97,114.01
53641,NC,Lincoln,2013,1.68,216.61,172.83,115.93
53642,NC,Lincoln,2014,4.51,226.38,180.63,121.16
53643,NC,Lincoln,2015,3.03,233.24,186.1,124.83
53644,NC,Lincoln,2016,2.98,240.19,191.65,128.55
53645,NC,Lincoln,2017,7.65,258.56,206.31,138.38
53646,NC,Lincoln,2018,4.67,270.63,215.94,144.84
53647,NC,McDowell,1992,.,100,.,71.83
53648,NC,McDowell,1993,-1.67,98.33,.,70.63
53649,NC,McDowell,1994,4.46,102.72,.,73.79
53650,NC,McDowell,1995,8.23,111.17,.,79.86
53651,NC,McDowell,1996,3.21,114.74,.,82.42
53652,NC,McDowell,1997,2.24,117.31,.,84.27
53653,NC,McDowell,1998,2.89,120.71,.,86.71
53654,NC,McDowell,1999,5.13,126.9,.,91.16
53655,NC,McDowell,2000,9.7,139.21,.,100
53656,NC,McDowell,2001,-2.36,135.92,.,97.64
53657,NC,McDowell,2002,1.88,138.48,.,99.47
53658,NC,McDowell,2003,4.18,144.27,.,103.63
53659,NC,McDowell,2004,6.6,153.8,.,110.48
53660,NC,McDowell,2005,4.66,160.96,.,115.62
53661,NC,McDowell,2006,6.05,170.71,.,122.62
53662,NC,McDowell,2007,9.33,186.64,.,134.07
53663,NC,McDowell,2008,-0.43,185.84,.,133.49
53664,NC,McDowell,2009,-2.91,180.43,.,129.61
53665,NC,McDowell,2010,-4.35,172.58,.,123.96
53666,NC,McDowell,2011,-3.3,166.88,.,119.87
53667,NC,McDowell,2012,-3.45,161.11,.,115.73
53668,NC,McDowell,2013,-1.51,158.69,.,113.99
53669,NC,McDowell,2014,4.97,166.57,.,119.65
53670,NC,McDowell,2015,-1.01,164.88,.,118.44
53671,NC,McDowell,2016,7.23,176.81,.,127.01
53672,NC,McDowell,2017,4.76,185.23,.,133.05
53673,NC,McDowell,2018,2.33,189.55,.,136.16
53674,NC,Macon,1995,.,100,.,74.63
53675,NC,Macon,1996,3.41,103.41,.,77.18
53676,NC,Macon,1997,5.47,109.06,.,81.39
53677,NC,Macon,1998,8.37,118.19,.,88.2
53678,NC,Macon,1999,6.66,126.06,.,94.08
53679,NC,Macon,2000,6.3,133.99,.,100
53680,NC,Macon,2001,7.35,143.84,.,107.35
53681,NC,Macon,2002,4.59,150.43,.,112.27
53682,NC,Macon,2003,3.81,156.17,.,116.55
53683,NC,Macon,2004,6.65,166.56,.,124.31
53684,NC,Macon,2005,7.12,178.43,.,133.16
53685,NC,Macon,2006,9.34,195.09,.,145.6
53686,NC,Macon,2007,8.13,210.94,.,157.43
53687,NC,Macon,2008,1.91,214.97,.,160.43
53688,NC,Macon,2009,-5.63,202.86,.,151.4
53689,NC,Macon,2010,-9.37,183.85,.,137.21
53690,NC,Macon,2011,-5.01,174.64,.,130.33
53691,NC,Macon,2012,-7.5,161.53,.,120.55
53692,NC,Macon,2013,-1.36,159.33,.,118.91
53693,NC,Macon,2014,-1.22,157.39,.,117.46
53694,NC,Macon,2015,3.64,163.13,.,121.75
53695,NC,Macon,2016,3.35,168.59,.,125.82
53696,NC,Macon,2017,2.56,172.9,.,129.04
53697,NC,Macon,2018,4.22,180.2,.,134.48
53698,NC,Madison,1998,.,100,.,91.02
53699,NC,Madison,1999,1.16,101.16,.,92.07
53700,NC,Madison,2000,8.61,109.87,.,100
53701,NC,Madison,2001,4.68,115.01,.,104.68
53702,NC,Madison,2002,3.07,118.54,.,107.89
53703,NC,Madison,2003,2.51,121.51,.,110.59
53704,NC,Madison,2004,2.75,124.84,.,113.63
53705,NC,Madison,2005,8,134.84,.,122.73
53706,NC,Madison,2006,11.41,150.22,.,136.73
53707,NC,Madison,2007,8.93,163.64,.,148.94
53708,NC,Madison,2008,-4.08,156.96,.,142.86
53709,NC,Madison,2009,-1.62,154.41,.,140.54
53710,NC,Madison,2010,-5.75,145.52,.,132.45
53711,NC,Madison,2011,-4.12,139.53,.,127
53712,NC,Madison,2012,-5.07,132.46,.,120.56
53713,NC,Madison,2013,4.63,138.59,.,126.14
53714,NC,Madison,2014,-1.19,136.94,.,124.64
53715,NC,Madison,2015,8.76,148.94,.,135.57
53716,NC,Madison,2016,1.25,150.8,.,137.25
53717,NC,Madison,2017,4.27,157.23,.,143.11
53718,NC,Madison,2018,2.35,160.94,.,146.48
53719,NC,Martin,1993,.,100,.,73.36
53720,NC,Martin,1994,5.16,105.16,.,77.15
53721,NC,Martin,1995,8.33,113.92,.,83.58
53722,NC,Martin,1996,3.79,118.24,.,86.75
53723,NC,Martin,1997,0.76,119.14,.,87.4
53724,NC,Martin,1998,2.29,121.87,.,89.41
53725,NC,Martin,1999,7.22,130.67,.,95.87
53726,NC,Martin,2000,4.31,136.31,.,100
53727,NC,Martin,2001,6.49,145.16,.,106.49
53728,NC,Martin,2002,3.04,149.56,.,109.73
53729,NC,Martin,2003,0.99,151.05,.,110.81
53730,NC,Martin,2004,7.23,161.96,.,118.82
53731,NC,Martin,2005,0,161.97,.,118.83
53732,NC,Martin,2006,8.25,175.34,.,128.63
53733,NC,Martin,2007,3.07,180.72,.,132.59
53734,NC,Martin,2008,4.65,189.13,.,138.75
53735,NC,Martin,2009,-3.4,182.7,.,134.04
53736,NC,Martin,2010,3.39,188.89,.,138.58
53737,NC,Martin,2011,-2.52,184.12,.,135.08
53738,NC,Martin,2012,-5.73,173.58,.,127.35
53739,NC,Martin,2013,-0.52,172.68,.,126.68
53740,NC,Martin,2014,-2.82,167.81,.,123.11
53741,NC,Martin,2015,-1.04,166.06,.,121.83
53742,NC,Martin,2016,7.1,177.85,.,130.48
53743,NC,Martin,2017,-2.6,173.22,.,127.08
53744,NC,Martin,2018,7.27,185.8,.,136.31
53760,NC,Mecklenburg,1990,1.42,268.84,100,71.4
53761,NC,Mecklenburg,1991,1.16,271.95,101.16,72.23
53762,NC,Mecklenburg,1992,1.02,274.72,102.19,72.96
53763,NC,Mecklenburg,1993,0.75,276.78,102.96,73.51
53764,NC,Mecklenburg,1994,2.83,284.63,105.87,75.59
53765,NC,Mecklenburg,1995,5.68,300.81,111.89,79.89
53766,NC,Mecklenburg,1996,5.59,317.61,118.14,84.35
53767,NC,Mecklenburg,1997,5.29,334.41,124.39,88.82
53768,NC,Mecklenburg,1998,3.91,347.47,129.25,92.28
53769,NC,Mecklenburg,1999,4,361.37,134.42,95.97
53770,NC,Mecklenburg,2000,4.19,376.53,140.06,100
53771,NC,Mecklenburg,2001,3.48,389.63,144.93,103.48
53772,NC,Mecklenburg,2002,1.57,395.74,147.2,105.1
53773,NC,Mecklenburg,2003,1.02,399.76,148.7,106.17
53774,NC,Mecklenburg,2004,2.34,409.13,152.19,108.66
53775,NC,Mecklenburg,2005,5.48,431.55,160.52,114.61
53776,NC,Mecklenburg,2006,7.63,464.5,172.78,123.36
53777,NC,Mecklenburg,2007,7.35,498.65,185.49,132.44
53778,NC,Mecklenburg,2008,2.13,509.28,189.44,135.26
53779,NC,Mecklenburg,2009,-4.43,486.74,181.05,129.27
53780,NC,Mecklenburg,2010,-8.21,446.79,166.19,118.66
53781,NC,Mecklenburg,2011,-4.19,428.09,159.24,113.69
53782,NC,Mecklenburg,2012,-2.07,419.24,155.95,111.34
53783,NC,Mecklenburg,2013,4.9,439.78,163.59,116.8
53784,NC,Mecklenburg,2014,7.03,470.69,175.09,125.01
53785,NC,Mecklenburg,2015,5.93,498.61,185.47,132.42
53786,NC,Mecklenburg,2016,8.42,540.59,201.08,143.57
53787,NC,Mecklenburg,2017,9.67,592.87,220.53,157.46
53788,NC,Mecklenburg,2018,8.51,643.31,239.29,170.86
53789,NC,Mitchell,1999,.,100,.,100.13
53790,NC,Mitchell,2000,-0.13,99.87,.,100
53791,NC,Mitchell,2001,10.49,110.34,.,110.49
53792,NC,Mitchell,2002,3.48,114.18,.,114.34
53793,NC,Mitchell,2003,2.97,117.57,.,117.73
53794,NC,Mitchell,2004,4.47,122.82,.,122.98
53795,NC,Mitchell,2005,3.76,127.44,.,127.61
53796,NC,Mitchell,2006,8.63,138.44,.,138.62
53797,NC,Mitchell,2007,8.17,149.74,.,149.95
53798,NC,Mitchell,2008,-2.64,145.8,.,145.99
53799,NC,Mitchell,2009,2.89,150.01,.,150.22
53800,NC,Mitchell,2010,-0.7,148.96,.,149.16
53801,NC,Mitchell,2011,-4.85,141.73,.,141.92
53802,NC,Mitchell,2012,-6.82,132.07,.,132.25
53803,NC,Mitchell,2013,2.64,135.55,.,135.73
53804,NC,Mitchell,2014,-0.05,135.49,.,135.67
53805,NC,Mitchell,2015,-3.24,131.1,.,131.28
53806,NC,Mitchell,2016,6.54,139.67,.,139.86
53807,NC,Mitchell,2017,-0.4,139.12,.,139.3
53808,NC,Mitchell,2018,-1.31,137.29,.,137.48
53809,NC,Montgomery,1996,.,100,.,85.56
53810,NC,Montgomery,1997,-2.31,97.69,.,83.59
53811,NC,Montgomery,1998,2.72,100.35,.,85.86
53812,NC,Montgomery,1999,7.53,107.9,.,92.33
53813,NC,Montgomery,2000,8.31,116.87,.,100
53814,NC,Montgomery,2001,6.97,125.02,.,106.97
53815,NC,Montgomery,2002,2.46,128.09,.,109.6
53816,NC,Montgomery,2003,-0.56,127.38,.,108.99
53817,NC,Montgomery,2004,6.81,136.05,.,116.41
53818,NC,Montgomery,2005,1.57,138.18,.,118.23
53819,NC,Montgomery,2006,14.29,157.94,.,135.14
53820,NC,Montgomery,2007,2.07,161.21,.,137.94
53821,NC,Montgomery,2008,5.75,170.48,.,145.87
53822,NC,Montgomery,2009,-3.13,165.14,.,141.3
53823,NC,Montgomery,2010,-2.94,160.29,.,137.15
53824,NC,Montgomery,2011,-7.13,148.87,.,127.38
53825,NC,Montgomery,2012,1.15,150.58,.,128.84
53826,NC,Montgomery,2013,-5.32,142.57,.,121.99
53827,NC,Montgomery,2014,4.08,148.39,.,126.97
53828,NC,Montgomery,2015,1.19,150.16,.,128.49
53829,NC,Montgomery,2016,3.26,155.06,.,132.68
53830,NC,Montgomery,2017,2.22,158.51,.,135.62
53831,NC,Montgomery,2018,0.88,159.9,.,136.82
53837,NC,Moore,1990,-2.61,106.14,100,70.87
53838,NC,Moore,1991,4.38,110.79,104.38,73.97
53839,NC,Moore,1992,1.36,112.3,105.8,74.98
53840,NC,Moore,1993,0.8,113.19,106.64,75.58
53841,NC,Moore,1994,4.93,118.77,111.9,79.3
53842,NC,Moore,1995,5.44,125.23,117.99,83.61
53843,NC,Moore,1996,4.2,130.49,122.94,87.13
53844,NC,Moore,1997,3.9,135.59,127.74,90.53
53845,NC,Moore,1998,3.34,140.11,132,93.55
53846,NC,Moore,1999,3.5,145.02,136.62,96.82
53847,NC,Moore,2000,3.28,149.78,141.11,100
53848,NC,Moore,2001,4.13,155.97,146.94,104.13
53849,NC,Moore,2002,2.04,159.14,149.94,106.26
53850,NC,Moore,2003,1.9,162.17,152.79,108.27
53851,NC,Moore,2004,4.42,169.34,159.54,113.06
53852,NC,Moore,2005,6.17,179.79,169.39,120.04
53853,NC,Moore,2006,7.23,192.79,181.63,128.72
53854,NC,Moore,2007,5.73,203.83,192.04,136.09
53855,NC,Moore,2008,2.65,209.23,197.12,139.7
53856,NC,Moore,2009,-1.24,206.64,194.69,137.97
53857,NC,Moore,2010,-3.12,200.2,188.62,133.67
53858,NC,Moore,2011,-3.21,193.77,182.56,129.37
53859,NC,Moore,2012,-0.98,191.87,180.77,128.1
53860,NC,Moore,2013,-1.18,189.61,178.63,126.59
53861,NC,Moore,2014,0.89,191.29,180.22,127.72
53862,NC,Moore,2015,1.08,193.36,182.17,129.1
53863,NC,Moore,2016,3.66,200.43,188.83,133.82
53864,NC,Moore,2017,2.24,204.92,193.06,136.82
53865,NC,Moore,2018,3.83,212.76,200.45,142.05
53881,NC,Nash,1990,3.11,195.26,100,76.43
53882,NC,Nash,1991,1.35,197.9,101.35,77.46
53883,NC,Nash,1992,0.89,199.67,102.26,78.16
53884,NC,Nash,1993,1.59,202.85,103.89,79.4
53885,NC,Nash,1994,2.22,207.36,106.2,81.17
53886,NC,Nash,1995,4.74,217.2,111.23,85.02
53887,NC,Nash,1996,2.85,223.38,114.4,87.44
53888,NC,Nash,1997,4.46,233.35,119.51,91.34
53889,NC,Nash,1998,3.17,240.75,123.3,94.24
53890,NC,Nash,1999,2.59,247,126.49,96.68
53891,NC,Nash,2000,3.43,255.47,130.83,100
53892,NC,Nash,2001,3.49,264.38,135.4,103.49
53893,NC,Nash,2002,1.82,269.19,137.86,105.37
53894,NC,Nash,2003,1.8,274.04,140.34,107.27
53895,NC,Nash,2004,1.13,277.12,141.92,108.48
53896,NC,Nash,2005,1.97,282.57,144.71,110.61
53897,NC,Nash,2006,2.85,290.62,148.84,113.76
53898,NC,Nash,2007,1.35,294.55,150.85,115.3
53899,NC,Nash,2008,1.16,297.96,152.6,116.63
53900,NC,Nash,2009,-1.17,294.49,150.82,115.27
53901,NC,Nash,2010,-5.34,278.76,142.76,109.12
53902,NC,Nash,2011,-3.29,269.59,138.06,105.53
53903,NC,Nash,2012,-1.74,264.89,135.66,103.69
53904,NC,Nash,2013,-0.69,263.07,134.73,102.98
53905,NC,Nash,2014,-1.43,259.31,132.8,101.5
53906,NC,Nash,2015,-0.24,258.67,132.48,101.25
53907,NC,Nash,2016,2.81,265.95,136.2,104.1
53908,NC,Nash,2017,1.83,270.83,138.7,106.01
53909,NC,Nash,2018,1.54,275,140.84,107.65
53925,NC,New Hanover,1990,3.35,231.88,100,64.1
53926,NC,New Hanover,1991,3.23,239.38,103.23,66.17
53927,NC,New Hanover,1992,3.14,246.9,106.48,68.25
53928,NC,New Hanover,1993,3.57,255.71,110.28,70.69
53929,NC,New Hanover,1994,6.45,272.21,117.39,75.25
53930,NC,New Hanover,1995,8.64,295.73,127.53,81.75
53931,NC,New Hanover,1996,6.56,315.14,135.9,87.11
53932,NC,New Hanover,1997,6.22,334.74,144.36,92.53
53933,NC,New Hanover,1998,3.89,347.75,149.97,96.13
53934,NC,New Hanover,1999,2.68,357.08,153.99,98.71
53935,NC,New Hanover,2000,1.31,361.76,156.01,100
53936,NC,New Hanover,2001,3.82,375.59,161.97,103.82
53937,NC,New Hanover,2002,1.94,382.89,165.12,105.84
53938,NC,New Hanover,2003,1.21,387.53,167.12,107.12
53939,NC,New Hanover,2004,6.32,412.02,177.68,113.89
53940,NC,New Hanover,2005,17.78,485.25,209.26,134.14
53941,NC,New Hanover,2006,18.58,575.41,248.14,159.06
53942,NC,New Hanover,2007,5.47,606.89,261.72,167.76
53943,NC,New Hanover,2008,-1.63,597.02,257.46,165.03
53944,NC,New Hanover,2009,-6.32,559.28,241.19,154.6
53945,NC,New Hanover,2010,-9.51,506.08,218.25,139.9
53946,NC,New Hanover,2011,-6.4,473.68,204.28,130.94
53947,NC,New Hanover,2012,-5.5,447.64,193.04,123.74
53948,NC,New Hanover,2013,1.06,452.39,195.09,125.05
53949,NC,New Hanover,2014,4.65,473.41,204.16,130.86
53950,NC,New Hanover,2015,4.32,493.86,212.97,136.52
53951,NC,New Hanover,2016,4.68,516.95,222.93,142.9
53952,NC,New Hanover,2017,7.49,555.66,239.63,153.6
53953,NC,New Hanover,2018,6.38,591.1,254.91,163.4
53954,NC,Northampton,1993,.,100,.,69.52
53955,NC,Northampton,1994,10.72,110.72,.,76.97
53956,NC,Northampton,1995,4.63,115.85,.,80.54
53957,NC,Northampton,1996,6.55,123.43,.,85.81
53958,NC,Northampton,1997,4.5,128.99,.,89.67
53959,NC,Northampton,1998,0.4,129.51,.,90.03
53960,NC,Northampton,1999,6.47,137.88,.,95.85
53961,NC,Northampton,2000,4.33,143.85,.,100
53962,NC,Northampton,2001,3.76,149.26,.,103.76
53963,NC,Northampton,2002,9,162.69,.,113.1
53964,NC,Northampton,2003,-7,151.3,.,105.18
53965,NC,Northampton,2004,19.71,181.12,.,125.91
53966,NC,Northampton,2005,6.82,193.48,.,134.5
53967,NC,Northampton,2006,10.41,213.61,.,148.5
53968,NC,Northampton,2007,5.56,225.48,.,156.75
53969,NC,Northampton,2008,-1.12,222.96,.,155
53970,NC,Northampton,2009,-3.45,215.28,.,149.65
53971,NC,Northampton,2010,-3.4,207.95,.,144.56
53972,NC,Northampton,2011,-5.96,195.56,.,135.95
53973,NC,Northampton,2012,-5.02,185.74,.,129.12
53974,NC,Northampton,2013,0.97,187.55,.,130.38
53975,NC,Northampton,2014,2.46,192.16,.,133.59
53976,NC,Northampton,2015,-4.12,184.24,.,128.08
53977,NC,Northampton,2016,-1.57,181.35,.,126.07
53978,NC,Northampton,2017,-4.77,172.7,.,120.06
53979,NC,Northampton,2018,10.01,189.99,.,132.08
53986,NC,Onslow,1990,-1.47,107.35,100,76.69
53987,NC,Onslow,1991,2.85,110.42,102.85,78.87
53988,NC,Onslow,1992,1.28,111.83,104.17,79.88
53989,NC,Onslow,1993,0.97,112.92,105.18,80.66
53990,NC,Onslow,1994,1.61,114.73,106.87,81.96
53991,NC,Onslow,1995,2.97,118.13,110.04,84.39
53992,NC,Onslow,1996,2.08,120.59,112.33,86.14
53993,NC,Onslow,1997,5.57,127.3,118.58,90.93
53994,NC,Onslow,1998,3.67,131.97,122.93,94.27
53995,NC,Onslow,1999,2.17,134.84,125.6,96.32
53996,NC,Onslow,2000,3.82,139.99,130.4,100
53997,NC,Onslow,2001,4.49,146.27,136.25,104.49
53998,NC,Onslow,2002,1.96,149.14,138.92,106.53
53999,NC,Onslow,2003,3.6,154.51,143.92,110.37
54000,NC,Onslow,2004,5.98,163.75,152.53,116.97
54001,NC,Onslow,2005,11.71,182.92,170.39,130.66
54002,NC,Onslow,2006,11.77,204.44,190.44,146.04
54003,NC,Onslow,2007,8.58,221.97,206.77,158.56
54004,NC,Onslow,2008,0.78,223.7,208.37,159.79
